,source,target,weight
0,11,14,0.6619718309859155
1,11,521,0.45614035087719296
2,11,12,0.3333333333333333
3,11,15,0.6228070175438597
4,11,16,0.3684210526315789
5,11,81,0.3333333333333333
6,11,360,0.39473684210526316
7,11,471,0.32456140350877194
8,11,472,0.3508771929824561
9,11,750,0.6268656716417911
10,11,841,0.6272189349112426
11,11,851,0.4344262295081967
12,11,853,0.35964912280701755
13,11,855,0.5151515151515151
14,11,861,0.5828571428571429
15,11,910,0.5972222222222222
16,11,932,0.5909090909090909
17,11,952,0.37719298245614036
18,11,981,0.32456140350877194
19,12,479,0.423728813559322
20,12,13,0.3559322033898305
21,12,14,0.34507042253521125
22,12,15,0.3302752293577982
23,12,107,0.35714285714285715
24,12,133,0.4057971014492754
25,12,472,0.3157894736842105
26,12,478,0.3728813559322034
27,12,581,0.31666666666666665
28,12,851,0.36885245901639346
29,12,952,0.34146341463414637
30,12,981,0.3770491803278688
31,13,15,0.3669724770642202
32,13,742,0.3157894736842105
33,13,889,0.33962264150943394
34,14,841,0.7988165680473372
35,14,750,0.7746478873239436
36,14,15,0.6267605633802817
37,14,107,0.3873239436619718
38,14,133,0.33098591549295775
39,14,360,0.4647887323943662
40,14,472,0.3591549295774648
41,14,851,0.6267605633802817
42,14,853,0.3732394366197183
43,14,855,0.704225352112676
44,14,861,0.7257142857142858
45,14,910,0.7291666666666666
46,14,932,0.7857142857142857
47,15,16,0.3394495412844037
48,15,107,0.3394495412844037
49,15,133,0.3394495412844037
50,15,360,0.44036697247706424
51,15,472,0.3577981651376147
52,15,750,0.6119402985074627
53,15,841,0.5976331360946746
54,15,851,0.5409836065573771
55,15,853,0.41284403669724773
56,15,855,0.5378787878787878
57,15,861,0.5714285714285714
58,15,889,0.3486238532110092
59,15,910,0.5555555555555556
60,15,932,0.5584415584415584
61,15,952,0.3486238532110092
62,15,981,0.3302752293577982
63,16,872,0.3793103448275862
64,16,105,0.3620689655172414
65,16,479,0.3275862068965517
66,16,581,0.31666666666666665
67,16,952,0.32926829268292684
68,17,872,0.2708333333333333
69,21,749,0.2857142857142857
70,22,161,0.5434782608695652
71,22,462,0.5
72,22,521,0.39344262295081966
