,source,target,weight
0,1131//,1153//,0.2079207920792079
1,1132//,3162//,0.25
2,1132//,3361//,0.2
3,1133//,3211//,0.41947565543071164
4,1133//,3219//,0.4077669902912621
5,1133//,1153//,0.3295880149812734
6,1133//,2361//,0.3054945054945055
7,1133//,2362//,0.31516587677725116
8,1133//,2371//,0.2972027972027972
9,1133//,2373//,0.3473684210526316
10,1133//,2389//,0.30173775671406006
11,1133//,4231//,0.3193548387096774
12,1133//,4233//,0.33707865168539325
13,1133//,4239//,0.3225806451612903
14,1133//,4244//,0.31629392971246006
15,1133//,4411//,0.3131578947368421
16,1133//,4412//,0.3415559772296015
17,1133//,4413//,0.3044982698961938
18,1133//,4421//,0.33629893238434166
19,1133//,4422//,0.3355119825708061
20,1133//,4441//,0.303886925795053
21,1133//,4442//,0.3205317577548006
22,1133//,4451//,0.33424657534246577
23,1133//,4461//,0.3096774193548387
24,1133//,4471//,0.30344827586206896
25,1133//,4481//,0.32
26,1133//,4482//,0.3165938864628821
27,1133//,4483//,0.32894736842105265
28,1133//,4511//,0.32332155477031804
29,1133//,4512//,0.3464285714285714
30,1133//,4523//,0.3370473537604457
31,1133//,4531//,0.3181818181818182
32,1133//,4532//,0.33404255319148934
33,1133//,4533//,0.2988505747126437
34,1133//,4539//,0.3280757097791798
35,1133//,4543//,0.3288364249578415
36,1133//,5173//,0.32577903682719545
37,1133//,5322//,0.3333333333333333
38,1133//,5419//,0.31049250535331907
39,1133//,5613//,0.2967741935483871
40,1133//,5617//,0.3353174603174603
41,1133//,5621//,0.3035143769968051
42,1133//,6111//,0.31086142322097376
43,1133//,6211//,0.3161189358372457
44,1133//,6212//,0.3092909535452323
45,1133//,6214//,0.3210633946830266
46,1133//,6216//,0.3280943025540275
47,1133//,6219//,0.3194888178913738
48,1133//,6232//,0.3056872037914692
49,1133//,6233//,0.322265625
50,1133//,6241//,0.29982964224872233
51,1133//,6242//,0.31738035264483627
52,1133//,6244//,0.313458262350937
53,1133//,7139//,0.2975708502024291
54,1133//,7211//,0.3105590062111801
55,1133//,7212//,0.33035714285714285
56,1133//,7223//,0.2962962962962963
57,1133//,7225//,0.30158730158730157
58,1133//,8111//,0.3032104637336504
59,1133//,8114//,0.32616487455197135
60,1133//,8122//,0.3374045801526718
61,1133//,8123//,0.31626506024096385
62,1133//,8131//,0.30474934036939316
63,1141//,4872//,0.5409836065573771
64,1141//,3366//,0.39285714285714285
65,1141//,3117//,0.30357142857142855
66,1141//,4883//,0.39285714285714285
67,1142//,3346//,0.23529411764705882
68,1151//,4245//,0.4605809128630705
69,1151//,4249//,0.371824480369515
70,1151//,4931//,0.32057416267942584
71,1152//,3121//,0.3287671232876712
72,1152//,3118//,0.3181818181818182
73,1152//,6116//,0.31645569620253167
74,1152//,6239//,0.31333333333333335
75,2111//,2131//,0.6428571428571429
76,2111//,4246//,0.2994350282485876
77,2111//,5324//,0.3631578947368421
78,2121//,3311//,0.15384615384615385
79,2122//,4851//,0.15
80,2123//,4233//,0.39622641509433965
81,2123//,2211//,0.38235294117647056
82,2123//,2362//,0.3080568720379147
83,2123//,2371//,0.3146853146853147
84,2123//,2373//,0.3263157894736842
85,2123//,2381//,0.2964426877470356
86,2123//,3219//,0.37540453074433655
87,2123//,3231//,0.31512605042016806
88,2123//,3261//,0.3651877133105802
89,2123//,3273//,0.3541666666666667
90,2123//,3323//,0.3365695792880259
91,2123//,3327//,0.30434782608695654
92,2123//,3399//,0.31512605042016806
93,2123//,4231//,0.3387096774193548
94,2123//,4237//,0.35714285714285715
95,2123//,4244//,0.31309904153354634
96,2123//,4247//,0.31092436974789917
97,2123//,4412//,0.3092979127134725
98,2123//,4422//,0.31808278867102396
99,2123//,4483//,0.3105263157894737
100,2123//,4511//,0.3127208480565371
101,2123//,4512//,0.33214285714285713
102,2123//,4522//,0.39158576051779936
103,2123//,4531//,0.31611570247933884
104,2123//,4533//,0.3065134099616858
105,2123//,4884//,0.3504531722054381
106,2123//,4921//,0.3235294117647059
107,2123//,4931//,0.31092436974789917
108,2123//,5614//,0.31092436974789917
109,2123//,5621//,0.3769968051118211
110,2123//,5629//,0.39330543933054396
111,2123//,6219//,0.35782747603833864
112,2123//,6221//,0.38235294117647056
113,2123//,6231//,0.30584192439862545
114,2123//,6232//,0.3104265402843602
115,2123//,6233//,0.298828125
116,2123//,6243//,0.3319327731092437
117,2123//,7212//,0.33035714285714285
118,2123//,8123//,0.3373493975903614
119,2131//,5324//,0.4421052631578947
120,2131//,2371//,0.32517482517482516
121,2131//,4246//,0.3559322033898305
122,2211//,2371//,0.3041958041958042
123,2211//,2373//,0.3298245614035088
124,2211//,3231//,0.3212669683257919
125,2211//,4231//,0.3032258064516129
126,2211//,4233//,0.30566037735849055
127,2211//,4237//,0.3148936170212766
128,2211//,4245//,0.3070539419087137
129,2211//,4247//,0.3
130,2211//,4522//,0.32362459546925565
131,2211//,4884//,0.31722054380664655
132,2211//,4921//,0.36199095022624433
133,2211//,5321//,0.2986425339366516
134,2211//,5324//,0.3031674208144796
135,2211//,5621//,0.3194888178913738
136,2211//,5629//,0.3263598326359833
137,2211//,6219//,0.3194888178913738
138,2211//,6221//,0.37104072398190047
139,2211//,6243//,0.3076923076923077
